Date (UTC+00:00),AQS,PM1.0 (μg/m³),PM2.5 (μg/m³),PM10 (μg/m³),PM0.5 (particles),PM1.0 (particles),PM2.5 (particles),PM10 (particles),Typical particle size (nm),Temperature (˚C),Humidity (%),Pressure (hPa),TVOC Index,TVOC (ppm),NOx Index,CO₂ (ppm),Latitude,Longitude,Altitude (m),Position Error (m),GNSS SNR 0-19,GNSS SNR 20-49,GNSS SNR 50-99,GNSS SNR Avg,Satellites Fixed,Satellites in View,Battery (%),Charging,Motion,Phone GPS
2025-12-10 09:38:00,99,0.5,0.8,1.0,3,4,4,4,7,24.7,30,907.5,11,0.02,1,392,40.18604,44.49946,942,9,2,11,0,24,7,13,33,,no,no
2025-12-10 09:39:00,99,,,,,,,,,24.6,29,907.6,11,0.02,1,392,40.18598,44.49948,940,6,3,7,0,23,7,10,33,,no,no
2025-12-10 09:40:00,99,,,,,,,,,24.5,29,907.6,11,0.02,1,391,40.18600,44.49948,949,4,1,11,0,27,8,12,33,,no,no
2025-12-10 09:41:00,99,,,,,,,,,24.5,29,907.6,11,0.02,1,404,40.18598,44.49944,958,4,2,10,0,25,7,12,33,,no,no
2025-12-10 09:42:00,99,,,,,,,,,24.3,29,907.6,11,0.02,1,408,40.18598,44.49941,962,4,2,10,0,26,8,12,33,,no,no
2025-12-10 09:43:00,99,0.2,0.2,0.2,1,1,1,1,4,24.2,30,907.5,16,0.02,1,393,40.18598,44.49942,963,4,2,10,0,25,7,12,33,,no,no
2025-12-10 09:44:00,99,,,,,,,,,24.2,29,907.5,16,0.02,1,392,40.18602,44.49947,969,5,3,7,0,26,6,10,33,,no,no
2025-12-10 09:45:00,99,,,,,,,,,24.1,29,907.5,16,0.02,1,396,40.18600,44.49942,965,4,2,8,0,26,9,10,33,,no,no
2025-12-10 09:46:00,99,,,,,,,,,24.0,29,907.5,16,0.02,1,405,40.18598,44.49941,958,7,3,7,0,24,7,10,33,,no,no
2025-12-10 09:47:00,99,,,,,,,,,23.9,29,907.5,16,0.02,1,406,40.18598,44.49939,960,8,5,7,0,21,8,12,33,,no,no
2025-12-10 09:48:00,98,1.0,1.0,1.0,7,8,8,8,4,23.8,30,907.6,17,0.02,1,407,40.18573,44.49884,944,5,0,13,0,25,9,13,33,,yes,no
2025-12-10 09:49:00,97,,,,,,,,,23.7,29,908.1,17,0.02,1,428,40.18572,44.49872,952,6,2,10,0,23,9,12,33,,yes,no
2025-12-10 09:50:00,96,,,,,,,,,23.5,29,908.2,17,0.02,1,439,40.18573,44.49872,953,6,2,11,0,24,10,13,33,,no,no
2025-12-10 09:51:00,96,,,,,,,,,23.4,29,908.1,17,0.02,1,439,40.18573,44.49872,953,8,6,8,0,22,10,14,33,,no,no
2025-12-10 09:52:00,96,,,,,,,,,23.3,29,908.1,17,0.02,1,437,40.18573,44.49872,953,10,2,11,0,24,8,13,33,,no,no
2025-12-10 09:53:00,98,,,,,,,,,23.2,29,908.2,17,0.02,1,424,40.18573,44.49872,952,7,4,9,0,24,10,13,33,,no,no
2025-12-10 09:54:00,98,,,,,,,,,23.1,29,908.2,17,0.02,1,421,40.18573,44.49872,952,7,5,9,0,23,10,14,33,,no,no
2025-12-10 09:55:00,98,0.5,0.5,0.6,3,4,4,4,5,23.0,30,908.2,17,0.02,1,401,40.18573,44.49872,952,6,4,9,0,22,8,13,33,,no,no
2025-12-10 09:56:00,98,,,,,,,,,23.0,30,908.2,17,0.02,1,392,40.18573,44.49872,952,7,2,13,0,23,9,15,33,,no,no
2025-12-10 09:57:00,98,,,,,,,,,23.0,30,908.2,17,0.02,1,391,40.18573,44.49872,952,10,4,11,0,22,10,15,32,,no,no
2025-12-10 09:58:00,98,,,,,,,,,22.9,30,908.1,17,0.02,1,393,40.18573,44.49872,953,8,3,10,0,23,10,13,32,,no,no
2025-12-10 09:59:00,98,,,,,,,,,22.8,30,908.1,17,0.02,1,405,40.18573,44.49870,952,6,1,11,0,23,9,12,32,,yes,no
2025-12-10 10:00:00,97,1.9,2.7,3.5,12,14,15,15,8,22.8,30,907.7,18,0.02,1,418,40.18579,44.49903,958,7,3,12,0,24,10,15,32,,no,no
2025-12-10 10:01:00,98,,,,,,,,,22.7,29,907.5,18,0.02,1,424,40.18604,44.49961,986,8,2,15,0,24,8,17,32,,yes,no
2025-12-10 10:02:00,98,,,,,,,,,22.7,29,907.3,18,0.02,1,416,40.18643,44.50000,993,15,6,8,0,19,10,14,32,,no,no
2025-12-10 10:03:00,98,,,,,,,,,22.5,29,906.7,18,0.02,1,393,40.18613,44.50026,985,6,4,12,0,23,9,16,32,,yes,no
2025-12-10 10:04:00,98,,,,,,,,,22.4,29,905.7,18,0.02,1,405,40.18599,44.50086,988,7,1,16,0,24,10,17,32,,no,no
2025-12-10 10:05:00,97,1.7,1.8,1.9,12,13,13,14,4,22.3,30,905.3,13,0.02,1,417,40.18615,44.50162,1000,8,2,16,0,25,10,18,32,,no,no
2025-12-10 10:06:00,99,,,,,,,,,22.2,29,905.2,13,0.02,1,411,40.18650,44.50163,1004,8,3,16,0,24,9,19,32,,yes,no
2025-12-10 10:07:00,98,,,,,,,,,22.1,29,905.2,13,0.02,1,419,40.18661,44.50189,1033,89,12,2,0,14,6,14,32,,yes,no
