Timestamp,q1
2026-04-13 02:39:50,"{""ts"":""2026-04-13T06:39:49Z"",""pm"":{""PM1_0_ATM"":3,""PM2_5_ATM"":7,""PM10_0_ATM"":8},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":"""",""has_fix"":false},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":28.944,""load1"":0.07,""load5"":0.04,""load15"":0.2,""mem_total_mb"":416,""mem_avail_mb"":191,""mem_used_mb"":224,""uptime_s"":9992},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.25,""vsdram_i_v"":1.25,""vsdram_p_v"":1.275},""errors"":[""dht:missing some readings - high level duration too long: 102.76µs""]}"
2026-04-13 02:39:55,"{""ts"":""2026-04-13T06:39:54Z"",""dht"":{""humidity_pct"":66.9,""temp_c"":16.4},""pm"":{""PM1_0_ATM"":3,""PM2_5_ATM"":9,""PM10_0_ATM"":9},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":6,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":1.2,""cpu_temp_c"":28.944,""load1"":0.07,""load5"":0.04,""load15"":0.2,""mem_total_mb"":416,""mem_avail_mb"":191,""mem_used_mb"":225,""uptime_s"":9997},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.25,""vsdram_i_v"":1.25,""vsdram_p_v"":1.275}}"
2026-04-13 02:40:00,"{""ts"":""2026-04-13T06:39:59Z"",""pm"":{""PM1_0_ATM"":3,""PM2_5_ATM"":9,""PM10_0_ATM"":9},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":6,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":5,""cpu_temp_c"":28.944,""load1"":0.06,""load5"":0.04,""load15"":0.2,""mem_total_mb"":416,""mem_avail_mb"":191,""mem_used_mb"":225,""uptime_s"":10002},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level duration too long: 114.999µs""]}"
2026-04-13 02:40:05,"{""ts"":""2026-04-13T06:40:04Z"",""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":11,""PM10_0_ATM"":11},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":6,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":1.2,""cpu_temp_c"":28.944,""load1"":0.06,""load5"":0.04,""load15"":0.19,""mem_total_mb"":416,""mem_avail_mb"":190,""mem_used_mb"":225,""uptime_s"":10007},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - high level duration too long: 174.531µs""]}"
2026-04-13 02:40:10,"{""ts"":""2026-04-13T06:40:09Z"",""dht"":{""humidity_pct"":66.2,""temp_c"":16.5},""pm"":{""PM1_0_ATM"":5,""PM2_5_ATM"":12,""PM10_0_ATM"":12},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":1.2,""cpu_temp_c"":28.944,""load1"":0.05,""load5"":0.04,""load15"":0.19,""mem_total_mb"":416,""mem_avail_mb"":190,""mem_used_mb"":225,""uptime_s"":10012},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2026-04-13 02:40:15,"{""ts"":""2026-04-13T06:40:14Z"",""pm"":{""PM1_0_ATM"":5,""PM2_5_ATM"":13,""PM10_0_ATM"":13},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":6,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":1.2,""cpu_temp_c"":28.944,""load1"":0.05,""load5"":0.04,""load15"":0.19,""mem_total_mb"":416,""mem_avail_mb"":190,""mem_used_mb"":225,""uptime_s"":10017},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level duration too short: 18.177µs""]}"
2026-04-13 02:40:20,"{""ts"":""2026-04-13T06:40:19Z"",""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":12,""PM10_0_ATM"":12},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":2.5,""cpu_temp_c"":28.406,""load1"":0.04,""load5"":0.04,""load15"":0.19,""mem_total_mb"":416,""mem_avail_mb"":190,""mem_used_mb"":225,""uptime_s"":10022},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level not found""]}"
2026-04-13 02:40:25,"{""ts"":""2026-04-13T06:40:24Z"",""dht"":{""humidity_pct"":65.2,""temp_c"":16.6},""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":9,""PM10_0_ATM"":10},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":1.3,""cpu_temp_c"":29.482,""load1"":0.04,""load5"":0.04,""load15"":0.19,""mem_total_mb"":416,""mem_avail_mb"":190,""mem_used_mb"":225,""uptime_s"":10027},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2026-04-13 02:40:30,"{""ts"":""2026-04-13T06:40:29Z"",""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":8,""PM10_0_ATM"":9},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":1.3,""cpu_temp_c"":28.944,""load1"":0.04,""load5"":0.03,""load15"":0.19,""mem_total_mb"":416,""mem_avail_mb"":190,""mem_used_mb"":225,""uptime_s"":10032},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level duration too long: 115.364µs""]}"
2026-04-13 02:40:35,"{""ts"":""2026-04-13T06:40:34Z"",""dht"":{""humidity_pct"":66,""temp_c"":16.6},""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":7,""PM10_0_ATM"":8},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":6,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":28.944,""load1"":0.03,""load5"":0.03,""load15"":0.19,""mem_total_mb"":416,""mem_avail_mb"":190,""mem_used_mb"":225,""uptime_s"":10037},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
