Timestamp, Payload
2025-10-28 04:28:50,"{""ts"":""2025-10-28T08:28:49Z"",""dht"":{""humidity_pct"":32.6,""temp_c"":26.8},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":20,""Count_0_5um"":0,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":48.312,""load1"":0.3,""load5"":0.13,""load15"":0.15,""mem_total_mb"":416,""mem_avail_mb"":210,""mem_used_mb"":205,""uptime_s"":1426},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.25,""vsdram_i_v"":1.25,""vsdram_p_v"":1.275}}"
2025-10-28 04:28:55,"{""ts"":""2025-10-28T08:28:54Z"",""dht"":{""humidity_pct"":32.6,""temp_c"":26.8},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":19,""Count_0_5um"":0,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":48.312,""load1"":0.28,""load5"":0.13,""load15"":0.15,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1431},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:01,"{""ts"":""2025-10-28T08:29:00Z"",""dht"":{""humidity_pct"":32.7,""temp_c"":26.8},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":18,""Count_0_5um"":0,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":48.312,""load1"":0.26,""load5"":0.12,""load15"":0.15,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1436},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:11,"{""ts"":""2025-10-28T08:29:10Z"",""dht"":{""humidity_pct"":34.3,""temp_c"":26.8},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":17,""Count_0_5um"":0,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":1.3,""cpu_temp_c"":47.774,""load1"":0.24,""load5"":0.12,""load15"":0.15,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1442},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:15,"{""ts"":""2025-10-28T08:29:14Z"",""dht"":{""humidity_pct"":33.5,""temp_c"":26.8},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":14,""Count_0_5um"":0,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.2,""load5"":0.12,""load15"":0.15,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1452},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:20,"{""ts"":""2025-10-28T08:29:19Z"",""dht"":{""humidity_pct"":34.9,""temp_c"":26.8},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":12,""Count_0_5um"":0,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.18,""load5"":0.11,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1456},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:25,"{""ts"":""2025-10-28T08:29:24Z"",""dht"":{""humidity_pct"":34.7,""temp_c"":26.8},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":10,""Count_0_5um"":0,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.17,""load5"":0.11,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1461},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:30,"{""ts"":""2025-10-28T08:29:29Z"",""dht"":{""humidity_pct"":34.2,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":8,""Count_0_5um"":0,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.15,""load5"":0.11,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1466},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:35,"{""ts"":""2025-10-28T08:29:34Z"",""dht"":{""humidity_pct"":33.5,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":7,""Count_0_5um"":1,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.14,""load5"":0.11,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":208,""mem_used_mb"":207,""uptime_s"":1471},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:40,"{""ts"":""2025-10-28T08:29:39Z"",""dht"":{""humidity_pct"":33.4,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":5,""Count_0_5um"":1,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.13,""load5"":0.11,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":207,""uptime_s"":1476},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
